Id;URL;Text;Timestamp;Impressions (Organic);Impressions (Paid);Favorites (Organic);Favorites (Paid);Retweets (Organic);Retweets (Paid);Replies (Organic);Replies (Paid);Quotes;Link Clicks (Organic);Link Clicks (Paid);Profile Clicks (Organic);Profile Clicks (Paid);Engagement;Video views (Organic);Video views (Paid)
"1620210342470062081";"https://twitter.com/a/status/1620210342470062081";"¿A qué se debe la lentitud en los juicios de lesa humanidad? Pablo Llonto conversa en #Desiguales acerca de su denuncia por mal desempeño al Presidente de la Corte Suprema.

Sumate al debate en https://t.co/fnEKkuadQ9 https://t.co/KIX32tuNXJ";2023-01-30 20:00;"2391";"0";"16";"0";"11";"0";;;"1";;;"2";"0";"12.55";"825";"0"
"1620197562207666178";"https://twitter.com/a/status/1620197562207666178";"El Gobierno argentino pagó al Fondo Monetario Internacional un total de u$d 710 millones de los 1.400 millones que debe desembolsar esta semana. 

#TVPNoticias | https://t.co/fnEKkuadQ9 https://t.co/cZJ3E7N4pN";2023-01-30 19:09;"2270";"0";"4";"0";;;"1";"0";"2";;;"2";"0";"3.96";"925";"0"
"1620195325867708417";"https://twitter.com/a/status/1620195325867708417";"¿Cómo sigue el juicio político a la Corte? Mara Brawer, diputada del Frente de Todos, explica cuáles son los pasos que seguirá la comisión a partir del jueves.

#TVPNoticias | https://t.co/fnEKkuadQ9 https://t.co/isFYFadW1D";2023-01-30 19:00;"2934";"0";"26";"0";"12";"0";"2";"0";;"1";"0";"1";"0";"14.31";"970";"0"
"1620164635511988225";"https://twitter.com/a/status/1620164635511988225";"Abel lleva 25 años cantando en Cosquín. Anoche lo disfrutaste cerrando la 63° edición del festival cordobés; en todo este tiempo lo viste crecer en la Televisión Pública

🔴 Reviví el show de @AbelPintos en @AquiCosquinOk &gt; https://t.co/A65SGg0knP https://t.co/5OvXDD3t56";2023-01-30 16:58;"6011";"0";"110";"0";"17";"0";;;;"11";"0";"7";"0";"24.12";"2397";"0"
"1620147529777315840";"https://twitter.com/a/status/1620147529777315840";"Cuarteteando en #FestivalPaís. Se vienen dos noches a puro ritmo cordobés y las vas a poder ver en todas nuestras plataformas. 

¡Estos serán los artistas!

@AquiCosquinOk https://t.co/Mv6DwyG3Q2";2023-01-30 15:50;"1943";"0";"4";"0";"1";"0";;;;;;"4";"0";"4.63";;
"1620102937287475202";"https://twitter.com/a/status/1620102937287475202";"¡#LunesSinCarne en @cocinerosarg! Tentate con esta receta de papas rellenas al horno en https://t.co/fnEKkuadQ9 https://t.co/NzHmHZiUnq";2023-01-30 12:53;"2012";"0";"6";"0";;;;;;"1";"0";"2";"0";"4.47";"716";"0"
"1620099025578954759";"https://twitter.com/a/status/1620099025578954759";"Crisis en Perú: Más de 60 pesonas murieron por la represión policial durante las protestas contra la presidenta Dina Boluarte. Más información en https://t.co/fnEKkuadQ9 https://t.co/951sM947WP";2023-01-30 12:38;"2285";"0";"8";"0";"1";"0";;;;"3";"0";"3";"0";"6.56";"867";"0"
"1620095677656190976";"https://twitter.com/a/status/1620095677656190976";"Funcionarios de la Secretaria de Agricultura, de la AFIP y del Banco Nación concluyeron las reuniones con representantes de la Mesa de Enlace y de la Mesa Agroindustrial Argentina para definir los mecanismos de asistencia por la sequía. Más información en https://t.co/fnEKkuadQ9 https://t.co/M8B98A7Agl";2023-01-30 12:24;"2012";"0";"2";"0";"1";"0";;;;;;"5";"0";"3.98";"518";"0"
"1620092985005297665";"https://twitter.com/a/status/1620092985005297665";"Ezequiel Maderna se quedó con el cinturón del WBC. El boxeador platense noqueó al británico Karol Itauma en el quinto asalto en el estadio de Wembley, en Londres. Más información en https://t.co/fnEKkuadQ9 https://t.co/i9n8bjexhf";2023-01-30 12:14;"2469";"0";"14";"0";"3";"0";;;;;;;;"6.89";"827";"0"
"1620092264432164871";"https://twitter.com/a/status/1620092264432164871";".@alferdez encabeza el acto de inauguración de las obras de expansión de la Central Térmica Ensenada Barragán, Provincia de Buenos Aires. Más información en https://t.co/fnEKkuadQ9 https://t.co/ivyDGuznGX";2023-01-30 12:11;"1879";"0";"3";"0";;;;;;;;"1";"0";"2.13";"495";"0"
"1620089446090657794";"https://twitter.com/a/status/1620089446090657794";"Con golazo de Gio Simeone, Napoli reafirmó su liderazgo en la Serie A. Nico González metió un zurdazo frente al Lazio y Rodri de Paul dió la asistencia a Saúl Ñíguez para el gol del triunfo. Más información en https://t.co/fnEKkuadQ9 https://t.co/FD9rzMf5iD";2023-01-30 11:59;"2007";"0";"4";"0";;;;;;;;;;"1.99";"763";"0"
"1620085629441789954";"https://twitter.com/a/status/1620085629441789954";"¡Vuelve @TecnopolisArg! El viernes 3 de febrero vuelven los Atardeceres en Tecnópolis. Además, las familias podrán disfrutar nuevas experiencias artísticas y culturales. Más información en https://t.co/fnEKkuadQ9 https://t.co/l9da1CEtDE";2023-01-30 11:44;"1821";"0";"10";"0";"5";"0";;;;"1";"0";;;"8.79";"545";"0"
"1620081752982097921";"https://twitter.com/a/status/1620081752982097921";".@YPFoficial cerró el 2022 con un crecimientro del 9%, el número más alto de los últimos 25 años. Más información en https://t.co/fnEKkuadQ9 https://t.co/bukwAz6W7S";2023-01-30 11:29;"1790";"0";"5";"0";"1";"0";;;;;;;;"3.35";"483";"0"
"1620081162159882247";"https://twitter.com/a/status/1620081162159882247";"El Canciller alemán, Olaf Scholz, se reunió con el presidente @alferdez con el objetivo ampliar el comercio bilateral, el flujo de inversiones y el financiamiento de proyectos. Más información en https://t.co/fnEKkuadQ9 https://t.co/sCwqO9F0Wt";2023-01-30 11:27;"2083";"0";"7";"0";;;;;"1";"1";"0";"2";"0";"5.28";"641";"0"
"1620080648214937600";"https://twitter.com/a/status/1620080648214937600";"Se habrían detectado faltantes de los productos del programa ""Precios Justos"" en supermercados de la Ciudad de Buenos Aires y del conurbano bonaerense. Más información en https://t.co/fnEKkuadQ9 https://t.co/5X5HbnggBZ";2023-01-30 11:25;"1909";"0";"3";"0";"2";"0";"2";"0";"1";;;;;"4.19";"600";"0"
"1620070845698772993";"https://twitter.com/a/status/1620070845698772993";"En el Instituto Cultural de Villa Gesell ofrece una variada oferta de espectáculos. Uno de ellos es una obra teatral protagonizada por actores trans, un género que rompió barreras hace años y hoy llena salas en toda la costa.

#MañanasPúblicas | https://t.co/fnEKkuadQ9 https://t.co/ddUJ59bk4x";2023-01-30 10:46;"2318";"0";"8";"0";"2";"0";"1";"0";;;;;;"4.75";"835";"0"
"1620060773333585922";"https://twitter.com/a/status/1620060773333585922";"El dirigente mapuche Facundo Jones Huala, prófugo de la justicia chilena desde febrero de 2022, fue detenido esta madrugada en El Bolsón y fue trasladado a la ciudad de Bariloche.

#TVPNoticias | https://t.co/fnEKkuadQ9 https://t.co/rDi3D3P35C";2023-01-30 10:06;"1634";"0";"4";"0";;;;;;"1";"0";;;"3.06";"364";"0"
"1620052439024951299";"https://twitter.com/a/status/1620052439024951299";"En medio de la gira festivalera de verano, Bruno Arias se hace un rato para visitar a la TV Pública y compartir su arte. Él es el artista invitado para comenzar la semana e interpreta “Ave de Luz”.

#MañanasPúblicas | https://t.co/fnEKkuadQ9 https://t.co/v1BrU576uF";2023-01-30 09:32;"1640";"0";"4";"0";;;;;;;;"1";"0";"3.05";"506";"0"
